Time,avg_error
0.01,230.33314556382922
0.02,229.2673197704733
0.03,228.20650407275627
0.04,227.15074420663103
0.05,226.10007707983112
0.06,225.05452863012573
0.07,224.01411462010623
0.08,222.97884257051612
0.09,221.94871297601472
0.1,220.92371905669916
0.11,219.90384566920497
0.12,218.88906871299102
0.13,217.8793560874997
0.14,216.87467032818194
0.15,215.8749721224264
0.16,214.88022347912738
0.17,213.8903895346922
0.18,212.90543863871093
0.19,211.9253411176199
0.2,210.95006761298853
0.21,209.97958794417525
0.22,209.01387109643713
0.23,208.05288640125312
0.24,207.09660550571328
0.25,206.14500447738575
0.26,205.19806536151884
0.27,204.2557765610627
0.28,203.3181313158807
0.29,202.38512301008043
0.3,201.4567346248218
0.31,200.53291698583084
0.32,199.61354761036392
0.33,198.69836816344937
0.34,197.78694391298922
0.35,196.8787826618118
0.36,195.9736749282744
0.37,195.07188641163884
0.38,194.1739037629272
0.39,193.2801168227484
0.4,192.39073768508024
0.41,191.5058515459126
0.42,190.62547520959637
0.43,189.7495927478409
0.44,188.8781735839727
0.45,188.01118116788365
0.46,187.14857716102694
0.47,186.29032352491717
0.48,185.4363835792634
0.49,184.58672249492594
0.5,183.7413074430579
0.51,182.90010753099438
0.52,182.06309361857888
0.53,181.2302380847561
0.54,180.4015145918125
0.55,179.57689787394395
0.56,178.75636356063265
0.5700000000000001,177.939888034971
0.58,177.12744832200553
0.59,176.31902200076826
0.6,175.51458713421027
0.61,174.7141222125062
0.62,173.91760610645787
0.63,173.1250180287143
0.64,172.33633750121595
0.65,171.55154432772022
0.66,170.770618570551
0.67,169.99354053090394
0.68,169.2202907321634
0.6900000000000001,168.45084990578064
0.7000000000000001,167.68519897932975
0.71,166.92331906640857
0.72,166.16519145809568
0.73,165.41079761570523
0.74,164.6601191646091
0.75,163.9131378889204
0.76,163.16983572685515
0.77,162.43019476661308
0.78,161.69419724264233
0.79,160.96182553218173
0.8,160.23306215200262
0.81,159.50788975530298
0.8200000000000001,158.78629112873705
0.8300000000000001,158.06824918958898
0.84,157.35374698312447
0.85,156.64276768016484
0.86,155.93529457493926
0.87,155.23131108326328
0.88,154.53080074107993
0.89,153.83374720337767
0.9,153.1401342434701
0.91,152.44994575259005
0.92,151.76316573971798
0.93,151.07977833153498
0.94,150.39976777236845
0.95,149.72311842398273
0.96,149.04981476506586
0.97,148.37984139026958
0.98,147.71318300867864
0.99,147.04982444161303
1.0,146.38975061969893
1.01,145.7329465791846
1.02,145.0793974575138
1.03,144.4290884882087
1.04,143.78200499515012
1.05,143.13813238637087
1.06,142.4974561475081
1.07,141.85996183508033
1.08,141.2256350697771
1.09,140.5944615299689
1.1,139.96642694566617
1.11,139.3415170931856
1.12,138.71971779081545
1.13,138.10101489582033
1.14,137.48539430318613
1.15,136.87284194658812
1.16,136.2633438021676
1.17,135.65688589583604
1.18,135.0534543149943
1.19,134.45303522577225
1.2,133.85561489717495
1.21,133.2611797338903
1.22,132.6697163200069
1.23,132.08121147655285
1.24,131.49565233667187
1.25,130.9130264434752
1.26,130.3333218772534
1.27,129.75652742087414
1.28,129.18263277486318
1.29,128.6116288367114
1.3,128.04350806185712
1.31,127.47826492532606
1.32,126.91589650065862
1.33,126.35640316201723
1.34,125.79978938905893
1.35,125.24606460265537
1.36,124.69524387382242
1.37,124.14734822894899
1.38,123.60240414966727
1.39,123.06044181246308
1.4,122.5214917582718
1.41,121.9855801384126
1.42,121.45272340034396
1.43,120.92292391443925
1.44,120.39616809095462
1.45,119.87242775086182
1.46,119.35166427151505
1.47,118.83383408723255
1.48,118.31889396991834
1.49,117.80680501495976
1.5,117.29753493944646
1.51,116.79105879397541
1.52,116.2873584042706
1.53,115.7864208840305
1.54,115.28823651703416
1.55,114.79279627004878
1.56,114.3000891902136
1.57,113.81009994990252
1.58,113.32280680574485
1.59,112.83818021662667
1.6,112.35618230808925
1.61,111.8767672791819
1.62,111.39988273398498
1.63,110.92547180157
1.64,110.45347580502938
1.65,109.98383717010263
1.66,109.51650223876771
1.67,109.0514236767429
1.68,108.58856223114087
1.69,108.12788769281603
1.7,107.66937902955524
1.71,107.21302376219677
1.72,106.7588167396065
1.73,106.30675851940387
1.74,105.85685357584474
1.75,105.40910853778556
1.76,104.96353061693483
1.77,104.52012633104677
1.78,104.07890056963615
1.79,103.63985600020455
1.8,103.20299277640035
1.81,102.76830848788693
1.82,102.33579828386162
1.83,101.90545510512824
1.84,101.4772699695706
1.85,101.05123226912792
1.86,100.62733004999669
1.87,100.20555025981199
1.88,99.78587895499058
1.89,99.36830146799811
1.9,98.95280253830354
1.91,98.53936641273552
1.92,98.12797692145753
1.93,97.7186175353889
1.94,97.31127141004974
1.95,96.90592141980927
1.96,96.50255018555586
1.97,96.1011400979813
1.98,95.7016733380136
1.99,95.30413189543728
2.0,94.90849758638709
2.01,94.5147520701561
2.02,94.12287686559719
2.03,93.73285336729221
2.04,93.34466286159747
2.05,92.95828654263318
2.06,92.57370552825942
2.07,92.19090087606597
2.08,91.8098535993932
2.09,91.43054468339511
2.1,91.05295510114985
2.11,90.67706582982049
2.12,90.3028578668643
2.13,89.93031224628665
2.14,89.55941005493278
2.15,89.19013244880776
2.16,88.82246066941299
2.17,88.4563760600852
2.18,88.09186008232163
2.19,87.72889433207321
2.2,87.36746055598587
2.21,87.00754066756863
2.22,86.64911676326486
2.23,86.29217113840295
2.24,85.93668630300088
2.25,85.58264499739802
2.26,85.23003020768739
2.27,84.87882518092046
2.28,84.52901344005637
2.29,84.18057879862721
2.3000000000000003,83.83350537509051
2.31,83.48777760684061
2.32,83.14338026385056
2.33,82.80029846191601
2.34,82.45851767547384
2.35,82.11802374996789
2.36,81.77880291373565
2.37,81.44084178938974
2.38,81.10412740466917
2.39,80.76864720273649
2.4,80.4343890518976
2.41,80.10134125472172
2.42,79.76949255654152
2.43,79.43883215331219
2.44,79.10934969881222
2.45,78.78103531116736
2.46,78.45387957868212
2.47,78.12787356496412
2.48,77.80300881332701
2.49,77.47927735046048
2.5,77.15667168935569
2.51,76.83518483147708
2.52,76.51481026817174
2.53,76.1955419813097
2.54,75.87737444314877
2.5500000000000003,75.5603026154205
2.56,75.24432194763304
2.57,74.92942837458976
2.58,74.61561831312237
2.59,74.30288865803972
2.6,73.99123677729362
2.61,73.68066050636487
2.62,73.37115814187382
2.63,73.06272843442065
2.64,72.75537058066206
2.65,72.44908421463231
2.66,72.14386939831712
2.67,71.83972661149102
2.68,71.53665674082893
2.69,71.2346610683049
2.7,70.93374125889112
2.71,70.63389934757234
2.72,70.33513772569154
2.73,70.0374591266438
2.74,69.74086661093726
2.75,69.4453635506401
2.76,69.15095361323489
2.77,68.85764074490204
2.78,68.56542915325576
2.79,68.27432328955719
2.8000000000000003,67.98432783043043
2.81,67.69544765910888
2.82,67.40768784623987
2.83,67.12105363027807
2.84,66.83555039749794
2.85,66.55118366165844
2.86,66.26795904335303
2.87,65.98588224908006
2.88,65.70495905007027
2.89,65.42519526090801
2.9,65.14659671798577
2.91,64.86916925783088
2.92,64.59291869534606
2.93,64.3178508020054
2.94,64.04397128404864
2.95,63.771285760717625
2.96,63.49979974257941
2.97,63.22951860998132
2.98,62.96044759168358
2.99,62.692591743715944
3.0,62.42595592850456
3.01,62.16054479431584
3.02,61.89636275506406
3.03,61.63341397052894
3.04,61.37170232702938
3.0500000000000003,61.11123141859908
3.06,60.85200452870868
3.0700000000000003,60.59402461257874
3.08,60.33729428012605
3.09,60.081815779585604
3.1,59.82759098184764
3.11,59.57462136554914
3.12,59.32290800295621
3.13,59.07245154667219
3.14,58.82325221720448
3.15,58.57530979142025
3.16,58.32862359191945
3.17,58.083192477350316
3.18,57.83901483369051
3.19,57.59608856651401
3.2,57.35441109426093
3.21,57.1139793425253
3.22,56.874789739371565
3.23,56.63683821168933
3.24,56.40012018259161
3.25,56.16463056985939
3.26,55.93036378543276
3.27,55.697313735945535
3.28,55.4654738242976
3.29,55.23483695225696
3.3000000000000003,55.00539552408044
3.31,54.77714145113948
3.3200000000000003,54.55006615753554
3.33,54.32416058668715
3.34,54.09941520886827
3.35,53.87582002967623
3.36,53.653364599405386
3.37,53.43203802330111
3.38,53.21182897266691
3.39,52.99272569679688
3.4,52.77471603570374
3.41,52.55778743361194
3.42,52.34192695318472
3.43,52.1271212904527
3.44,51.913356790411655
3.45,51.70061946325562
3.46,51.488895001212434
3.47,51.278168795947224
3.48,51.0684259565
3.49,50.85965132772333
3.5,50.651829509185525
3.51,50.444944874505886
3.52,50.238981591087175
3.53,50.033923640212336
3.54,49.8297548374715
3.5500000000000003,49.62645885348598
3.56,49.42401923489639
3.5700000000000003,49.22241942558219
3.58,49.0216427880803
3.59,48.82167262517081
3.6,48.6224922015983
3.61,48.424084765897376
3.62,48.226433572291775
3.63,48.02952190263646
3.64,47.83333308837265
3.65,47.63785053246614
3.66,47.443057731299646
3.67,47.24893829649012
3.68,47.05547597660269
3.69,46.86265467873308
3.7,46.670458489930596
3.71,46.47887169843476
3.72,46.28787881469829
3.73,46.09746459217038
3.74,45.90761404781396
3.75,45.71831248233189
3.76,45.529545500076665
3.77,45.34129902861957
3.78,45.153559337955286
3.79,44.966313059318765
3.8,44.77954720359186
3.81,44.593249179277706
3.82,44.407406810021975
3.83,44.222008351660556
3.84,44.037042508774135
3.85,43.852498450731495
3.86,43.668365827203374
3.87,43.48463478313085
3.88,43.301295973132625
3.89,43.118340575336646
3.9,42.935760304623244
3.91,42.75354742526761
3.92,42.571694762971305
3.93,42.390195716273375
3.94,42.20904426733333
3.95,42.028234992079724
3.96,41.84776306971945
3.97,41.66762429160452
3.98,41.487815069454776
3.99,41.308332442936376
4.0,41.12917408659777
4.01,40.95033831616666
4.0200000000000005,40.77182409421276
4.03,40.593631035183385
4.04,40.41575940982038
4.05,40.23821014896844
4.0600000000000005,40.06098484678704
4.07,39.88408576337967
4.08,39.707515826855584
4.09,39.531278634841186
4.1,39.35537845545975
4.11,39.17982022779942
4.12,39.00460956189129
4.13,38.82975273822053
4.14,38.6552567067949
4.15,38.48112908579601
4.16,38.30737815984028
4.17,38.1340128778767
4.18,37.961042850750104
4.19,37.7884783484588
4.2,37.61633029713614
4.21,37.444610275785635
4.22,37.2733305127998
4.23,37.10250388229225
4.24,36.93214390027279
4.25,36.76226472069413
4.26,36.592881131398606
4.2700000000000005,36.42400854999204
4.28,36.25566301967041
4.29,36.08786120502404
4.3,35.92062038784182
4.3100000000000005,35.7539584629363
4.32,35.587893934008605
4.33,35.422445909569596
4.34,35.257634098931895
4.3500000000000005,35.09347880828482
4.36,34.9300009368627
4.37,34.7672219732148
4.38,34.60516399158448
4.39,34.44384964840385
4.4,34.28330217891143
4.41,34.12354539390174
4.42,33.96460367661926
4.43,33.80650197981569
4.44,33.649265822997855
4.45,33.49292128990747
4.46,33.337495026290995
4.47,33.18301423804286
4.48,33.029506689837156
4.49,32.877000704404885
4.5,32.72552516266813
4.51,32.57510950501251
4.5200000000000005,32.42578373406762
4.53,32.277578419478125
4.54,32.130524705290696
4.55,31.98465432076178
4.5600000000000005,31.839999595618163
4.57,31.69659348108832
4.58,31.55446957838389
4.59,31.413662176767033
4.6000000000000005,31.274206303918184
4.61,31.136137792053773
4.62,30.999493364181255
4.63,30.864310746077074
4.64,30.730628811111988
4.65,30.59848776702663
4.66,30.467929396311828
4.67,30.3389973651371
4.68,30.211737620004513
4.69,30.086198896723918
4.7,29.962433373166682
4.71,29.8404975057718
4.72,29.72045309998261
4.73,29.602368676245366
4.74,29.48632120439292
4.75,29.37239828645682
4.76,29.260700863196668
4.7700000000000005,29.151346487071027
4.78,29.0444731149619
4.79,28.940243179184613
4.8,28.83884732519205
4.8100000000000005,28.740506585685917
4.82,28.64547088968558
4.83,28.554010918179504
4.84,28.466400141047853
4.8500000000000005,28.38288566258175
4.86,28.303651247397948
4.87,28.2287823485862
4.88,28.158246459413213
4.89,28.091897782306667
4.9,28.029504282584472
4.91,27.97078564982055
4.92,27.915449078791866
4.93,27.86321496738685
4.94,27.81383105684957
4.95,27.76707742773707
4.96,27.722765780712873
4.97,27.680735858232342
4.98,27.64085087184097
4.99,27.60299295790014
5.0,27.56705912851337
5.01,27.532957869366424
5.0200000000000005,27.500606379531295
5.03,27.46992838228321
5.04,27.44085241671388
5.05,27.413310522235307
5.0600000000000005,27.387237238758185
5.07,27.362568858025966
5.08,27.339242873529454
5.09,27.317197586656697
5.1000000000000005,27.296371835106335
5.11,27.276704816307195
5.12,27.258135983933645
5.13,27.24060499987491
5.14,27.224051727453357
5.15,27.208416254482987
5.16,27.193638937060765
5.17,27.179660456895746
5.18,27.166421886578693
5.19,27.15386475853308
5.2,27.14193113450464
5.21,27.130563673372425
5.22,27.119705695819523
5.23,27.109301245009945
5.24,27.09929514289276
5.25,27.089633042114997
5.26,27.080261473783995
5.2700000000000005,27.07112789149415
5.28,27.06218071213499
5.29,27.053369354040818
5.3,27.044644273039335
5.3100000000000005,27.03595699691778
5.32,27.027260158761006
5.33,27.018507529534947
5.34,27.009654050198606
5.3500000000000005,27.000655863534437
5.36,26.991470345795577
5.37,26.982056138183832
5.38,26.97237317809609
5.39,26.96238273001234
5.4,26.95204741584614
5.41,26.94133124453915
5.42,26.930199640654354
5.43,26.91861947170815
5.44,26.906559073977835
5.45,26.893988276527008
5.46,26.880878423205836
5.47,26.86720239240395
5.48,26.852934614359903
5.49,26.83805108586063
5.5,26.822529382196123
5.51,26.806348666266906
5.5200000000000005,26.78948969477455
5.53,26.77193482145624
5.54,26.753667997353986
5.55,26.734674768135555
5.5600000000000005,26.714942268508157
5.57,26.69445921378696
5.58,26.67321588869769
5.59,26.65120413350716
5.6000000000000005,26.62841732758695
5.61,26.604850370523398
5.62,26.580499660893057
5.63,26.555363072825646
5.64,26.529439930477572
5.65,26.50273098053803
5.66,26.47523836288736
5.67,26.44696557952322
5.68,26.41791746186523
5.69,26.388100136543173
5.7,26.357520989767146
5.71,26.326188630371487
5.72,26.294112851617413
5.73,26.261304591831973
5.74,26.22777589395411
5.75,26.19353986405185
5.76,26.158610628867958
5.7700000000000005,26.12300329244516
5.78,26.086733891876488
5.79,26.049819352220556
5.8,26.012277440616906
5.8100000000000005,25.974126719632288
5.82,25.935386499864627
5.83,25.896076791828403
5.84,25.85621825714224
5.8500000000000005,25.815832159037555
5.86,25.774940312205413
5.87,25.733565031997742
5.88,25.69172908299879
5.89,25.649455626982892
5.9,25.606768170275277
5.91,25.563690510534453
5.92,25.520246682976445
5.93,25.47646090606403
5.94,25.432357526687557
5.95,25.387960964867702
5.96,25.343295658015684
5.97,25.29838600479112
5.98,25.253256308604286
5.99,25.207930720816055
6.0,25.162433183695764
6.01,25.116787373205582
6.0200000000000005,25.071016641688118
6.03,25.02514396054301
6.04,24.97919186298786
6.05,24.933182387008284
6.0600000000000005,24.887137018612368
6.07,24.841076635514636
6.08,24.795021451385146
6.09,24.748990960809344
6.1000000000000005,24.703003885114057
6.11,24.657078119224618
