Time,avg_error
0.01,230.33314556382922
0.02,230.2151870349056
0.03,230.09721648327957
0.04,229.97923875433358
0.05,229.86125868613317
0.06,229.74328110869772
0.07,229.6253108434034
0.08,229.5073527025246
0.09,229.3894114889227
0.1,229.27149199588936
0.11,229.15359900715728
0.12,229.03573729708958
0.13,228.91791163106333
0.14,228.800126766065
0.15,228.68238745151737
0.16,228.56469843036064
0.17,228.44706444041464
0.18,228.32949021605054
0.19,228.21198049020606
0.2,228.09453999678018
0.21,227.97717347344997
0.22,227.8598856649524
0.23,227.7426813268835
0.24,227.6255652300676
0.25,227.50854216555678
0.26,227.3916169503246
0.27,227.27479443372397
0.28,227.15807950478288
0.29,227.04147710041966
0.3,226.92499221466065
0.31,226.80862990895295
0.32,226.69239532366632
0.33,226.5762936908844
0.34,226.46033034859028
0.35,226.34451075635357
0.36,226.22884051263028
0.37,226.11332537378593
0.38,225.99797127495373
0.39,225.88278435283593
0.4,225.76777097054764
0.41,225.65293774459647
0.42,225.53829157406912
0.43,225.42383967207738
0.44,225.3095895994815
0.45,225.1955493008653
0.46,225.08172714268133
0.47,224.96813195340923
0.48,224.8547730654794
0.49,224.74166035859346
0.5,224.62880430393213
0.51,224.5162160085651
0.52,224.4039072591701
0.53,224.2918905639249
0.54,224.18017919115997
0.55,224.0687872030503
0.56,223.95772948229464
0.5700000000000001,223.84702174939005
0.58,223.7366805677865
0.59,223.6267233339234
0.6,223.5171682489636
0.61,223.40803426899083
0.62,223.2993410306
0.63,223.1911087492483
0.64,223.08335808852388
0.65,222.97610999967162
0.66,222.86938553232642
0.67,222.7632056193904
0.68,222.6575908412538
0.6900000000000001,222.55256117685374
0.7000000000000001,222.4481357510473
0.71,222.34433258891664
0.72,222.24116838725527
0.73,222.1386583107307
0.74,222.03681581398766
0.75,221.93565247983165
0.76,221.83517784568008
0.77,221.7353991629002
0.78,221.6363209924048
0.79,221.5379444792254
0.8,221.44026606197536
0.81,221.34327525603567
0.8200000000000001,221.24695101312318
0.8300000000000001,221.1512560643428
0.84,221.05612877879705
0.85,220.96147282318336
0.86,220.86714693907567
0.87,220.7729607953032
0.88,220.67868632277717
0.89,220.58409144878266
0.9,220.488989439868
0.91,220.39328019986334
0.92,220.29696052925212
